Product_id,PLU,COMMODITY,VARIETY
78,3077,APPLES,Northern Spy
79,3078,APPLES,Liberty
80,3079,ASPARAGUS,Purple
81,3080,AVOCADOS,Pinkerton
82,3081,BERRIES,Saskatoon
83,3082,BROCCOLI,Crowns
84,3083,BRUSSELS SPROUTS,Stalk
85,3084,CHERVIL,
86,3085,CORN,Indian
87,3086,CORN,Indian
88,3087,CORN,Indian
89,3088,CURRANTS,Red
90,3089,EGGPLANT (AUBERGINE),Chinese
91,3090,EGGPLANT (AUBERGINE),Thai
92,3091,GOBO ROOT/BURDOCK,
93,3092,GRAPEFRUIT,OroBlanco/Sweetie
94,3093,GRAPES,Retailer Assigned
95,3094,GRAPES,Retailer Assigned
96,3095,KALE,Multicolor
97,3096,KOHLRABI,Purple/Red/All Other Colors
98,3097,LETTUCE,Romaine
99,3098,LETTUCE,Boston
100,3099,LOTUS ROOT,
101,3100,MELON,Gold Honeydew
102,3101,MELON,Piel de Sapo
103,3102,MUSHROOMS,Morel
104,3103,MUSHROOMS,Enoki
105,3104,APPLES,RoHo 3615
106,3105,CASHEWS,
107,3106,MACADAMIA,
108,3107,ORANGES,Navel
109,3108,ORANGES,Valencia
110,3109,ORANGES,Seville (Marmalade type)
111,3110,ORANGES,Navel
112,3111,PAPAYA/PAWPAW,Red-Fleshed (Solo Sunrise)
113,3112,PAPAYA/PAWPAW,Meridol
114,3113,PEACHES,Flat White Flesh (Saturn type)
115,3114,MANGO,Green
116,3115,PEACHES,Flat Yellow Flesh
117,3116,PEACHES,Yellow Flesh
118,3117,PEACHES,Yellow Flesh
119,3118,PEARS,Starkrimson
120,3119,PEPPERS (CAPSICUMS),"Bell, Greenhouse"
121,3120,PEPPERS (CAPSICUMS),"Bell, Greenhouse"
122,3121,PEPPERS (CAPSICUMS),"Bell, Greenhouse"
123,3122,PEPPERS (CAPSICUMS),"Bell, Greenhouse"
124,3123,PEPPERS (CAPSICUMS),"Bell, Greenhouse"
125,3124,PEPPERS (CAPSICUMS),"Bell, Greenhouse"
126,3125,PEPPERS (CAPSICUMS),Habanero
127,3126,PLUMCOT (INTERSPECIFIC PLUM),Retailer Assigned
128,3127,POMEGRANATE,
129,3128,POTATO,Purple
130,3129,GRAPEFRUIT,Pummelo
131,3130,PUMPKIN,Jumbo
132,3131,PUMPKIN,Decorative (Painted)
133,3132,PUMPKIN,White
134,3133,PUMPKIN,White
135,3134,PUMPKIN,Pie Pumpkin
136,3135,GOURD,Ornamental
137,3136,SAPODILLO/NISPERO,
138,3137,SAPOTE,White
139,3138,SAPOTE,Black
140,3139,SAVORY,
141,3140,SQUASH,Cucuzza
142,3141,SQUASH,Opo
143,3142,SQUASH,Carnival
144,3143,SQUASH,Acorn
145,3144,TANGERINES/MANDARINS,Fall Glo
146,3145,TOMATOES,Plum/Italian/Saladette/Roma
147,3146,TOMATOES,Cherry
148,3147,TOMATOES,Cherry
149,3148,TOMATOES,Regular
150,3149,TOMATOES,Regular
151,3150,TOMATOES,Cocktail/Intermediate
152,3151,TOMATOES,"Vine Ripe, Regular"
153,3152,GRAPEFRUIT,Melogold
154,3153,ORANGES,Delta Seedless
155,3154,ORANGES,Delta Seedless
156,3155,ORANGES,Midknight
157,3156,ORANGES,Midknight
158,3157,GRAPEFRUIT,White
159,3158,GRAPEFRUIT,White
160,3159,GRAPEFRUIT,White
161,3160,GAI LAN,Synonymous with Chinese Broccoli
162,3161,GAI (GUI) CHOY (CHINESE or INDIAN MUSTARD),Baby
163,3162,ONG CHOY,Synonymous with Water Spinach
164,3163,BOK CHOY (PAK CHOI),Shanghai
165,3164,YU CHOY,
166,3165,RADICCHIO,Treviso
167,3166,CABBAGE,Tuscan
168,3167,FRISEE,
169,3168,RADICCHIO,Castlefranco
170,3169,LETTUCE,Catalogna
171,3271,APPLES,Virginia Gold
172,3272,APPLES,Sommerfeld
173,3273,BEETS,Golden
174,3274,PRUNES,Fresh
175,3275,NAME,Yellow (nyAH-may)
176,3276,NAME,White (nyAH-may)
177,3277,BROCCOLI,Baby
178,3278,PLUMCOT (INTERSPECIFIC PLUM),
179,3279,KIWIFRUIT,Golden
180,3280,KIWIFRUIT,Regular
181,3281,MELON,Watermelon
182,3282,TOMATOES,Plum/Italian/Saladette/Roma on the vine
183,3283,APPLES,Honeycrisp
184,3284,APPLES,Red Delicious
185,3285,APPLES,Golden Delicious
186,3286,ONIONS,Sweet red Italian
187,3287,BANANAS,Hawaiian plantain
188,3288,SWEET POTATO/YAM/KUMARA,Retailer Assigned
189,3289,MELON,Sprite
190,3290,APPLES,Aurora/Southern Rose
191,3291,APPLES,Boskoop/Belle de Boskoop
192,3292,APPLES,Boskoop/Belle de Boskoop
193,3293,APPLES,Scifresh
194,3294,APPLES,Scifresh
195,3295,APPLES,Sciearly
196,3296,APPLES,Sciearly
197,3297,APPLES,Scired
198,3298,APPLES,Redfield
199,3299,APPLES,Sonya
200,3300,APPLES,Sonya
201,3301,APPLES,Cripps Red
202,3302,APRICOTS,Regular
203,3303,BABACO,
204,3304,BERRIES,Loganberries
205,3305,CURRANTS,Black
206,3306,MELON,Charentais
207,3307,MELON,Charentais
208,3308,MELON,Watermelon
209,3309,ORANGES,Lima
210,3310,ORANGES,Pera
211,3311,PASSION FRUIT,Curuba/Banana
212,3312,PASSION FRUIT,Granadilla
213,3313,PEACHES,White Flesh
214,3314,PEACHES,White Flesh
215,3315,APPLES,Scilate
216,3316,PEARS,Carmen
217,3317,PEARS,Angelys
218,3318,PEARS,Passe Crassane
219,3319,PITAHAYA,Yellow (skin color)
220,3320,CAULIFLOWER,Romanesco/Broccoflower/Caulibroc
221,3321,CELERY ROOT/CELERIAC,With leaves attached
222,3322,CHOY SUM/PAK CHOI SUM,
223,3323,CHOY SUM/PAK CHOI SUM,Baby
224,3324,ESCAROLE/BATAVIAN CHICORY,Red
225,3325,LETTUCE,Lollo Bionda/Coral
226,3326,LETTUCE,Lollo Rossa/Coral
227,3327,LETTUCE,Mignonette (Compact red-tinged butterhead varieties)
228,3328,LETTUCE,"Mixed small-leaf salad (eg Sucrine, Mesclun, Rocket/Arugula)"
229,3329,LETTUCE,Oak Leaf
230,3330,LETTUCE,Oak Leaf
231,3331,ONIONS,Red Fresh
232,3332,SPINACH,Baby
233,3333,SWEET POTATO/YAM/KUMARA,Red/Orangy White Flesh
234,3334,SWEET POTATO/YAM/KUMARA,Red/Orangy White Flesh
235,3335,TOMATOES,Cocktail/Intermediate
236,3336,TOMATOES,Cocktail/Intermediate
237,3337,FIGS,(Dried Fruit)
238,3338,ANISE,
239,3339,APPLES,Belchard
240,3340,APPLES,Bertanne/Golden Russet
241,3341,APPLES,Charles Ross
242,3342,APPLES,Delblush
243,3343,APPLES,Dessert
244,3344,APPLES,Gloster
245,3345,APPLES,Gloster
246,3346,APPLES,Holstein
247,3347,APPLES,Laxtons Fortune
248,3348,APPLES,Lord Lambourne
249,3349,APPLES,Michaelmas Red
250,3350,APPLES,Reine des Reinettes/King of the Pippins
251,3351,APPLES,Reine des Reinettes/King of the Pippins
252,3352,APPLES,Reinettes and Heritage varieties
253,3353,APPLES,St Edmunds Pippin
254,3354,AVOCADOS,Ripe/Ready-to-Eat
255,3355,BERRIES,Strawberries
256,3356,BERRIES,Strawberries
257,3357,CHERRIES,Regular/Red/Black
258,3358,CHERRIES,Regular/Red/Black
259,3359,GRAPES,Chasselas
260,3360,GRAPES,Muscat de Hambourg
261,3361,GRAPEFRUIT,Without p/harvest treatment
262,3362,LEMONS,Without postharvest treatment
263,3363,MANGO,Bowen & Kensington Pride
264,3364,MANGO,R2E2 (ArtwoEetwo)
265,3365,MANGO,Ripe/Ready-to-Eat
266,3366,MADROÑA,
267,3367,MELON,Glasshouse - Netted varieties
268,3368,MELON,Ogen
269,3369,NECTARINE,Nectavigne (Red Flesh)
270,3370,ORANGES,Maltaise
271,3371,ORANGES,Salustiana
272,3372,ORANGES,Navelate (and other late Navel varieties)
273,3373,ORANGES,Navelina (incl. Newhall)
274,3374,ORANGES,Without postharvest treatment
275,3375,PEACHES,de Vigne & Sanguine (Red Flesh)
276,3376,PEARS,Alexander Lucas
277,3377,PEARS,Louise Bonne
278,3378,PEARS,Santa Maria
279,3379,PINEAPPLE,Mini
280,3380,PINEAPPLE,Perola
281,3381,SOURSOP,
282,3382,SUGAR APPLE,
283,3383,TANGERINES/MANDARINS,Clementine
284,3384,TANGERINES/MANDARINS,Clementine
285,3385,TANGERINES/MANDARINS,Clementine
286,3386,TANGERINES/MANDARINS,Clementine
287,3387,TANGERINES/MANDARINS,Clementine
288,3388,TANGERINES/MANDARINS,Satsuma
289,3389,TANGERINES/MANDARINS,Satsuma
290,3390,ARRACACH,
291,3391,ARTICHOKES,Rouge Salambo (Red)
292,3392,ASPARAGUS,Green
293,3393,ASPARAGUS,White
294,3394,ASPARAGUS,Purple
295,3395,BELGIAN ENDIVE (WITLOOF CHICORY),Red
296,3396,CABBAGE,"Savoy, Red"
297,3397,CABBAGE,Summer Cabbage
298,3398,CHICKPEAS,Chickpeas/Garbanzo
299,3399,GARLIC,Regular
300,3400,GARLIC,Regular
301,3401,GARLIC,One-clove types
302,3402,LEEKS,Regular
303,3403,LEEKS,Baby
304,3404,MUSHROOMS,Cep
305,3405,MUSHROOMS,Fairy Ring Champignon
306,3406,MUSHROOMS,Grey
307,3407,MUSHROOMS,Grisette
308,3408,MUSHROOMS,Horn of Plenty/Black Trumpet
309,3409,MUSHROOMS,Pioppino
310,3410,MUSHROOMS,Saffron Milk-Cap
311,3411,MUSHROOMS,Sheep Polypore
312,3412,ONIONS,Yellow/Brown Fresh
313,3413,PEPPERS (CAPSICUMS),Tabasco
314,3414,POTATO,Baking
315,3415,POTATO,Baking
316,3416,RHUBARB,Bunch
317,3417,SPINACH,New Zealand Spinach
318,3418,SQUASH,Zucchini/Courgette
319,3419,BORAGE,
320,3420,PEARS,Belle du Jumet
321,3421,MELON,Watermelon
322,3422,APRICOTS,InterSpecific
323,3423,TOMATOES,Heirloom
324,3424,CARROTS,Purple/Red
325,3425,TANGERINES/MANDARINS,Ellendale
326,3426,TANGERINES/MANDARINS,Ellendale
327,3427,TANGERINES/MANDARINS,Ellendale
328,3428,TANGERINES/MANDARINS,Honey/Murcott
329,3429,TANGERINES/MANDARINS,Honey/Murcott
330,3430,TANGERINES/MANDARINS,Honey/Murcott
331,3431,TANGERINES/MANDARINS,Imperial
332,3432,TANGERINES/MANDARINS,Imperial
333,3433,TANGERINES/MANDARINS,Imperial
334,3434,PEARS,Tosca
335,3435,APPLES,Pinova
336,3436,CAULIFLOWER,Orange
337,3437,NECTARINE,Flat Yellow
338,3438,APPLES,Ambrosia
339,3439,NECTARINE,White Flesh Flat
340,3440,POMEGRANATE,
341,3441,SQUASH,Butterkin
342,3442,APPLES,New York 1
343,3443,APPLES,New York 2
344,3444,APPLES,Green Dragon
345,3445,APPLES,DS 3
346,3446,KALE SPROUTS,
347,3447,APPLES,DS 22
348,3448,CHERRIES,Tip Top
349,3449,GRAPES,Sugrathirteen
350,3450,GRAPES,Sugranineteen
351,3451,GRAPES,Sugrathirtyfour
352,3452,GRAPES,Sugrathirtyfive
353,3453,GALANGAL ROOT,
354,3454,JACKFRUIT,Green
355,3455,JACKFRUIT,Yellow
356,3456,MELON,Winter
357,3457,PLUMS,President
358,3458,TOMATOES,Cherry
359,3459,PERSIMMON,Shiny Red
360,3460,APPLES,Red Jonaprince
361,3461,APPLES,Lady Williams
362,3462,CHIVES,Garlic/Chinese
363,3463,Amaranth/Callaloo/Een Choy,
364,3464,MANGO,B-74
365,3465,PEPPERS (CAPSICUMS),Stripy Bell
366,3466,PEARS,Cape Rose
367,3467,APPLES,Regal 13-82
368,3468,APPLES,Honeycrisp
369,3469,GRAPES,Sugrasixteen
370,3470,MELON,Watermelon
371,3471,CACTUS LEAVES (Nopales/Cactus Pads),Baby
372,3472,SACRED PEPPER,
373,3473,EPAZOTE,
374,3474,SWEET POTATO/YAM/KUMARA,Saffron
375,3475,MINT,Peppermint
376,3476,ORANGE TREE LEAF,
377,3477,PAPALO,
378,3478,QUELITES,
379,3479,CHIPILIN LEAF,
380,3480,PUMPKIN VINE,
381,3481,XPELON,
382,3482,RABBIT HERB,
383,3483,PURPLE HERB,
384,3484,APPLES,DALINETTE
385,3485,PEARS,HAROVIN SUNDOWN PEAR
386,3486,APPLES,CN121
387,3487,APPLES,MN 55
388,3488,MANGO,Red
389,3489,PEARS,Cepuna
390,3490,APPLES,MAIA 1
391,3491,GRAPES,ARRA FIFTEEN
392,3492,GRAPES,ARRA TWENTYNINE
393,3493,ONIONS,Tearless Sweet
394,3494,MELON,Watermelon - Yellow Mini Seedless
395,3495,PEARS,Celina
396,3496,GRAPES,IFG Core Red Seedless
397,3497,GRAPES,IFG Core Black Seedless 
398,3498,GRAPES,IFG Core Green Seedless
399,3499,GRAPES,IFG Novelty Red Seedless
400,3500,GRAPES,IFG Novelty Black Seedless
401,3501,GRAPES,IFG Novelty Green Seedless
402,3502,GRAPES,ARRA TWENTYSEVEN
403,3503,GRAPES,ARRA TWENTYEIGHT
404,3504,GRAPES,ARRA THIRTY
405,3505,GRAPES,ARRA THIRTYTWO
406,3506,GRAPES,Sweet Scarlet
407,3507,APPLES,WA 38
408,3508,GRAPES,Thomcord
409,3509,AVOCADOS,GEM
410,3510,APPLES,Ambrosia
411,3600,APPLES,Antares
412,3601,APPLES,Huaguan
413,3602,APPLES,Belgica
414,3603,APPLES,Minneiska
415,3604,APPLES,Emmons
416,3605,APPLES,Nicoter
417,3606,PEARS,Sweet Sensation
418,3607,APPLES,Mariri Red
419,3608,APPLES,Sciros
420,3609,PLUMCOT (INTERSPECIFIC PLUM),Red
421,3610,PLUMCOT (INTERSPECIFIC PLUM),Green
422,3611,PLUMCOT (INTERSPECIFIC PLUM),Black
423,3612,APPLES,Nicogreen
424,3613,APPLES,Fuji Brak
425,3614,APRICOTS,Red
426,3615,APPLES,Civni
427,3616,APPLES,Scilate
428,3617,LEMONS,Seedless
429,3618,APPLES,Opal
430,3619,APPLES,Milwa
431,3620,APPLES,Plumac
432,3621,MANGO,Francis
433,3622,MELON,Honey Green
434,3623,MELON,Hami
435,3624,MELON,Korean
436,3625,APPLES,Minnewashta
437,3626,LEMONS,Meyer
438,3627,APPLES,PremA17
439,3628,APPLES,PremA280
440,3629,APPLES,CIVG198
441,3630,APPLES,Co-op 43
442,3631,PUMPKIN,Pink
443,3632,TANGERINES/MANDARINS,Dekopon
444,4011,BANANAS,Yellow
445,4012,ORANGES,Navel
446,4013,ORANGES,Navel
447,4014,ORANGES,Valencia
448,4014,ORANGES,Valencia
449,4015,APPLES,Red Delicious
450,4016,APPLES,Red Delicious
451,4017,APPLES,Granny Smith
452,4018,APPLES,Granny Smith
453,4019,APPLES,McIntosh
454,4020,APPLES,Golden Delicious
455,4021,APPLES,Golden Delicious
456,4022,GRAPES,White/Green Seedless
457,4023,GRAPES,Red Seedless
458,4024,PEARS,Bartlett/Williams/WBC
459,4025,PEARS,Anjou
460,4026,PEARS,Bosc/Beurre Bosc
461,4027,GRAPEFRUIT,Ruby/Red/Pink
462,4028,BERRIES,Strawberries
463,4029,PINEAPPLE,
464,4030,KIWIFRUIT,Regular
465,4031,MELON,Watermelon
466,4032,MELON,Watermelon
467,4033,LEMONS,
468,4034,MELON,Honeydew/White Honeydew
469,4035,NECTARINE,Yellow Flesh
470,4036,NECTARINE,Yellow Flesh
471,4037,PEACHES,Yellow Flesh
472,4038,PEACHES,Yellow Flesh
473,4039,PLUMS,Black
474,4040,PLUMS,Black
475,4041,PLUMS,Red
476,4042,PLUMS,Red
477,4043,PEACHES,Yellow Flesh
478,4044,PEACHES,Yellow Flesh
479,4045,CHERRIES,Regular/Red/Black
480,4046,AVOCADOS,Hass
481,4047,GRAPEFRUIT,Ruby/Red/Pink
482,4048,LIMES,"Regular (incl. Persian, Tahiti & Bearss)"
483,4049,MELON,Cantaloupe/Rockmelon
484,4050,MELON,Cantaloupe/Rockmelon
485,4051,MANGO,Red
486,4052,PAPAYA/PAWPAW,Regular
487,4053,LEMONS,
488,4054,BERRIES,Raspberries
489,4055,TANGERINES/MANDARINS,
490,4056,GRAPES,Blue/Black Seedless
491,4057,APPLES,Haralson
492,4058,APPLES,Haralson
493,4060,BROCCOLI,
494,4061,LETTUCE,Iceberg
495,4062,CUCUMBER,Green/Ridge/Short
496,4063,TOMATOES,Regular
497,4064,TOMATOES,Regular
498,4065,PEPPERS (CAPSICUMS),"Bell, Field Grown"
499,4066,BEANS,Green/French
500,4067,SQUASH,Zucchini/Courgette
501,4068,ONIONS,Green (Scallions)/Spring
502,4069,CABBAGE,Green
503,4070,CELERY,Bunch
504,4071,CELERY,Bunch
505,4072,POTATO,Russet
506,4073,POTATO,Red
507,4074,SWEET POTATO/YAM/KUMARA,Red/Orangy Red Flesh
508,4075,LETTUCE,Red Leaf
509,4076,LETTUCE,Green Leaf
510,4077,CORN,"Sweet Corn, White"
511,4078,CORN,"Sweet Corn, Yellow"
512,4079,CAULIFLOWER,
513,4080,ASPARAGUS,Green
514,4081,EGGPLANT (AUBERGINE),Regular
515,4082,ONIONS,Red
516,4083,POTATO,White
517,4084,ARTICHOKES,
518,4085,MUSHROOMS,Regular
519,4086,SQUASH,Yellow Zucchini/Gold Bar/Yellow Courgette
520,4087,TOMATOES,Plum/Italian/Saladette/Roma
521,4088,PEPPERS (CAPSICUMS),"Bell, Field Grown"
522,4089,RADISH,Bunched Red
523,4090,SPINACH,Regular/Bunched
524,4091,SWEET POTATO/YAM/KUMARA,White
525,4092,PEAS,Chinese Snow Pea/Pea Pod/Mange Tout
526,4093,ONIONS,Yellow/Brown
527,4094,CARROTS,Bunch
528,4095,TURNIP,Yellow
529,4096,APPLES,Ginger Gold
530,4097,APPLES,Ginger Gold
531,4098,APPLES,Akane
532,4099,APPLES,Akane
533,4100,APPLES,Fireside
534,4101,APPLES,Braeburn
535,4102,APPLES,Fireside
536,4103,APPLES,Braeburn
537,4104,APPLES,Cortland
538,4105,APPLES,Cox Orange Pippin
539,4106,APPLES,Cortland
540,4107,APPLES,Crab
541,4108,APPLES,Crispin/Mutsu
542,4109,APPLES,Crispin/Mutsu
543,4110,APPLES,Crispin/Mutsu
544,4111,APPLES,Crispin/Mutsu
545,4112,APPLES,Regent
546,4113,APPLES,Criterion
547,4114,APPLES,Regent
548,4115,APPLES,Criterion
549,4116,APPLES,Early
550,4117,APPLES,Early
551,4118,APPLES,Early
552,4119,APPLES,Early
553,4120,APPLES,Fiesta
554,4121,APPLES,Elstar
555,4122,APPLES,Sciros
556,4123,APPLES,Elstar
557,4124,APPLES,Empire
558,4125,APPLES,Empire
559,4126,APPLES,Empire
560,4127,APPLES,Empire
561,4128,APPLES,Cripps Pink
562,4129,APPLES,Fuji
563,4130,APPLES,Cripps Pink
564,4131,APPLES,Fuji
565,4132,APPLES,Gala
566,4133,APPLES,Gala
567,4134,APPLES,Gala
568,4135,APPLES,Gala
569,4136,APPLES,Golden Delicious
570,4137,APPLES,Golden Delicious
571,4138,APPLES,Granny Smith
572,4139,APPLES,Granny Smith
573,4140,APPLES,Idared
574,4141,APPLES,Jonamac
575,4142,APPLES,Idared
576,4143,APPLES,Jonamac
577,4144,APPLES,Jonagold
578,4145,APPLES,Jonagold
579,4146,APPLES,Jonagold
580,4147,APPLES,Jonagold
581,4148,APPLES,Jonathan
582,4149,APPLES,Jonathan
583,4150,APPLES,Jonathan
584,4151,APPLES,Jonathan
585,4152,APPLES,McIntosh
586,4153,APPLES,McIntosh
587,4154,APPLES,McIntosh
588,4155,APPLES,Paulared
589,4156,APPLES,Gravenstein
590,4157,APPLES,Paulared
591,4158,APPLES,Gravenstein
592,4159,ONIONS,Vidalia
593,4160,APPLES,Pippin
594,4161,ONIONS,Texas Sweet
595,4162,APPLES,Pippin
596,4163,ONIONS,Walla Walla
597,4164,ONIONS,Maui
598,4165,ONIONS,California Sweet
599,4166,ONIONS,Other Sweet
600,4167,APPLES,Red Delicious
601,4168,APPLES,Red Delicious
602,4169,APPLES,Rome
603,4170,APPLES,Rome
604,4171,APPLES,Rome
605,4172,APPLES,Rome
606,4173,APPLES,Royal Gala
607,4174,APPLES,Royal Gala
608,4176,APPLES,Southern Snap
609,4177,APPLES,Spartan
610,4178,APPLES,Spartan
611,4179,APPLES,Spartan
612,4180,APPLES,Spartan
613,4181,APPLES,Stayman
614,4182,APPLES,Sturmer Pippin
615,4183,APPLES,Stayman
616,4185,APPLES,York
617,4186,BANANAS,Yellow
618,4187,APPLES,York
619,4188,NECTARINE,"White Flesh, Tree Ripened, Ready-to-eat"
620,4189,APPLES,Winesap
621,4190,APPLES,Winesap
622,4191,APPLES,Winesap
623,4192,APPLES,Winesap
624,4193,APPLES,Retailer Assigned
625,4194,APPLES,Retailer Assigned
626,4195,APPLES,Retailer Assigned
627,4196,APPLES,Retailer Assigned
628,4197,APPLES,Retailer Assigned
629,4198,APPLES,Retailer Assigned
630,4199,APPLES,Retailer Assigned
631,4200,APPLES,Retailer Assigned
632,4201,APPLES,Retailer Assigned
633,4202,APPLES,Retailer Assigned
634,4203,APPLES,Retailer Assigned
635,4204,APPLES,Retailer Assigned
636,4205,APPLES,Retailer Assigned
637,4206,APPLES,Retailer Assigned
638,4207,APPLES,Retailer Assigned
639,4208,APPLES,Retailer Assigned
640,4209,APPLES,Retailer Assigned
641,4210,APPLES,Retailer Assigned
642,4211,APPLES,Retailer Assigned
643,4212,APPLES,Retailer Assigned
644,4213,APPLES,Retailer Assigned
645,4214,APPLES,Retailer Assigned
646,4215,APPLES,Retailer Assigned
647,4216,APPLES,Retailer Assigned
648,4217,APPLES,Retailer Assigned
649,4218,APRICOTS,Regular
650,4219,APRICOTS,Retailer Assigned
651,4220,ATEMOYAS,
652,4221,AVOCADOS,Green
653,4222,AVOCADOS,Green
654,4223,AVOCADOS,Green
655,4224,AVOCADOS,Green
656,4225,AVOCADOS,Hass
657,4226,AVOCADOS,Cocktail/Seedless
658,4227,AVOCADOS,Retailer Assigned
659,4228,AVOCADOS,Retailer Assigned
660,4229,BANANAS,Burro
661,4230,BANANAS,Dominique
662,4231,BANANAS,Green
663,4232,BANANAS,Leaves
664,4233,BANANAS,Apple/Manzano
665,4234,BANANAS,baby/Nino
666,4235,BANANAS,Plantain/Macho
667,4236,BANANAS,Red
668,4237,BANANAS,Retailer Assigned
669,4238,BANANAS,Retailer Assigned
670,4239,BERRIES,Blackberries
671,4240,BERRIES,Blueberries
672,4241,BERRIES,Boysenberries
673,4242,BERRIES,Cranberries
674,4243,BERRIES,Gooseberries
675,4244,BERRIES,Raspberries
676,4245,BERRIES,Raspberries
677,4246,BERRIES,Strawberries
678,4247,BERRIES,Strawberries
679,4248,BERRIES,Strawberries
680,4249,BERRIES,Strawberries
681,4250,BERRIES,Strawberries
682,4251,BERRIES,Long-stemmed Strawberries
683,4252,BERRIES,Retailer Assigned
684,4253,BERRIES,Retailer Assigned
685,4254,BREADFRUIT,
686,4255,CACTUS PEAR (PRICKLY PEAR),
687,4256,CARAMBOLA (STARFRUIT),
688,4257,CHERIMOYA,
689,4258,CHERRIES,Golden/Rainier/White
690,4259,CHERRIES,Retailer Assigned
691,4260,COCONUTS,In Husk/Waternut
692,4261,COCONUTS,Husked
693,4262,COCONUTS,Retailer Assigned
694,4263,DATES,Fresh
695,4264,DATES,Retailer Assigned
696,4265,FEIJOA,
697,4266,FIGS,Black
698,4267,FIGS,Brown
699,4268,FIGS,White/Green
700,4269,FIGS,Retailer Assigned
701,4270,GRAPES,Blue/Black Seeded
702,4271,GRAPES,Champagne
703,4272,GRAPES,Concord
704,4273,GRAPES,Red Seeded
705,4274,GRAPES,White/Green Seeded
706,4275,GRAPES,Retailer Assigned
707,4276,GRAPES,Retailer Assigned
708,4277,GRAPES,Retailer Assigned
709,4278,GRAPES,Retailer Assigned
710,4279,GRAPEFRUIT,Pummelo
711,4280,GRAPEFRUIT,Ruby/Red/Pink
712,4281,GRAPEFRUIT,Ruby/Red/Pink
713,4282,GRAPEFRUIT,Ruby/Red/Pink
714,4283,GRAPEFRUIT,Ruby/Red/Pink
715,4284,GRAPEFRUIT,Deep Red
716,4285,GRAPEFRUIT,Deep Red
717,4286,GRAPEFRUIT,Deep Red
718,4287,GRAPEFRUIT,Deep Red
719,4288,GRAPEFRUIT,Deep Red
720,4289,GRAPEFRUIT,Deep Red
721,4290,GRAPEFRUIT,White
722,4291,GRAPEFRUIT,White
723,4292,GRAPEFRUIT,White
724,4293,GRAPEFRUIT,White
